AreaNum,AreaName,S_L99,S_LR99,SLRLC99,SLRUC99,EL99,PEL99,PELLCI99,PELUCI99,S_L00,S_LR00,SLRLC00,SLRUC00,EL00,PEL00,PELLCI00,PELUCI00,S_L01,S_LR01,SLRLC01,SLRUC01,EL01,PEL01,PELLCI01,PELUCI01,S_L02,S_LR02,SLRLC02,SLRUC02,EL02,PEL02,PELLCI02,PELUCI02,S_L03,S_LR03,SLRLC03,SLRUC03,EL03,PEL03,PELLCI03,PELUCI03,S_L04,S_LR04,SLRLC04,SLRUC04,EL04,PEL04,PELLCI04,PELUCI04,S_L05,S_LR05,SLRLC05,SLRUC05,EL05,PEL05,PELLCI05,PELUCI05,S_L06,S_LR06,SLRLC06,SLRUC06,EL06,PEL06,PELLCI06,PELUCI06,S_L07,S_LR07,SLRLC07,SLRUC07,EL07,PEL07,PELLCI07,PELUCI07,S_L08,S_LR08,SLRLC08,SLRUC08,EL08,PEL08,PELLCI08,PELUCI08,S_L09,S_LR09,SLRLC09,SLRUC09,EL09,PEL09,PELLCI09,PELUCI09,S_L10,S_LR10,SLRLC10,SLRUC10,EL10,PEL10,PELLCI10,PELUCI10,S_L11,S_LR11,SLRLC11,SLRUC11,EL11,PEL11,PELLCI11,PELUCI11,S_L12,S_LR12,SLRLC12,SLRUC12,EL12,PEL12,PELLCI12,PELUCI12,S_L13,S_LR13,SLRLC13,SLRUC13,EL13,PEL13,PELLCI13,PELUCI13,TOT_POP,WHITE,HISP,BLACK,ASIAN,OTHER,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,NATIVE,FOR_BORN,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,P_Crowd,P_LT_Pov,PM16UNEMP,PO25NoHS,PU18O64,PC_Income,Hardship,NumKits,NumMT5,MT5_PC,MT5_P_kit,Kit_PC,OneN_Kit
14,Albany Park,2152,313.3,300.1,326.5,209,9.7,8.4,11,2330,339.3,325.5,353.1,169,7.3,6.2,8.4,2352,347.9,333.8,362,143,6.1,5.1,7.1,2178,327.4,313.6,341.2,124,5.7,4.7,6.7,2394,365.7,351.1,380.3,118,4.9,4,5.8,2104,326.8,312.8,340.8,72,3.4,2.6,4.2,2247,354.9,340.2,369.6,54,2.4,1.8,3,2171,348.8,334.1,363.5,30,1.4,0.9,1.9,2318,378.9,363.5,394.3,32,1.4,0.9,1.9,2279,379.2,363.6,394.8,27,1.2,0.8,1.6,2218,375.8,360.2,391.4,20,0.9,0.5,1.3,2007,346.3,331.1,361.5,17,0.8,0.4,1.2,2168,374.1,358.4,389.8,27,1.2,0.7,1.7,2044,353,340,365,19,0.9,0.5,1.3,2024,349,337,362,14,0.7,0.3,1.1,51575,14932,24892,2337,7883,1531,7378,8192,5068,2047,7339,4041,25587,22290,16365,31512,16525,16365,21012,967,294,2310,621,650,1801,3294,563,11.3,19.2,10,32.9,32,21323,53,208,67.00000000000,0.001299079,0.322115385,0.004032962,247.9567308
57,Archer Heights,202,144,124.1,163.9,10,5,2,8,271,193.2,170.2,216.2,5,1.8,0,0,331,232.4,207.4,257.4,14,4.2,2,6.4,404,279.8,252.5,307.1,13,3.2,1.5,4.9,485,331.1,301.6,360.6,8,1.6,0.5,2.7,585,393.7,361.8,425.6,9,1.5,0.5,2.5,674,447.2,413.4,481,8,1.2,0.4,2,756,495.1,459.8,530.4,6,0.8,0.2,1.4,803,518.7,482.8,554.6,6,0.7,0.1,1.3,785,500.3,465.3,535.3,6,0.8,0.2,1.4,832,523.6,488,559.2,8,1,0.3,1.7,773,480.1,446.3,513.9,9,1.2,0.4,2,875,543.5,507.5,579.5,4,0.5,0,0,799,496,472,521,5,0.6,0.1,1.2,821,510,486,534,1,0.1,0,0.4,13233,2477,10178,79,439,60,2599,2881,1535,278,663,195,6810,5468,2291,9988,4447,2291,8451,1118,301,29,24,0,0,64,0,8.5,14.1,16.5,35.9,39.2,16134,67,14,8.00000000000,0.000604549,0.571428571,0.001057961,945.2142857
34,Armour Square,289,293.7,259.8,327.6,13,4.5,2.1,6.9,260,264.2,232.1,296.3,9,3.5,1.3,5.7,251,258,226.1,289.9,10,4,1.6,6.4,214,222.5,192.7,252.3,6,2.8,0.6,5,229,240.8,209.6,272,1,0.4,0,0,227,241.5,210.1,272.9,3,1.3,0,0,220,236.8,205.5,268.1,2,0.9,0,0,232,253,220.4,285.6,2,0.9,0,0,246,271.5,237.6,305.4,0,0,0,0,314,350.8,312,389.6,2,0.6,0,0,312,352.9,313.7,392.1,5,1.6,0,0,362,414.7,372,457.4,1,0.3,0,0,428,490.3,443.8,536.8,1,0.2,0,0,422,483,450,517,1,0.2,0,0.7,441,505,472,538,0,0,0,0,13699,1599,423,1248,10299,130,3342,3010,920,505,1313,884,4922,8144,3684,9382,6940,3684,235,25,8758,0,1,6,138,218,0,5.7,40.1,16.7,34.5,38.3,16148,82,9,2.00000000000,0.000145996,0.222222222,0.000656982,1522.111111
70,Ashburn,594,140.6,129.3,151.9,24,4,2.4,5.6,715,169.3,156.9,181.7,34,4.8,3.2,6.4,885,210.3,196.4,224.2,34,3.8,2.5,5.1,953,227.3,212.9,241.7,20,2.1,1.2,3,1114,266.8,251.1,282.5,19,1.7,0.9,2.5,1108,266.4,250.7,282.1,19,1.7,0.9,2.5,1471,355.1,337,373.2,12,0.8,0.3,1.3,1489,360.8,342.5,379.1,7,0.5,0.2,0.8,1513,368,349.5,386.5,4,0.3,0,0,1598,390.3,371.2,409.4,9,0.6,0.2,1,1556,381.6,362.6,400.6,13,0.8,0.3,1.3,1402,345.2,327.1,363.3,11,0.8,0.3,1.3,1496,368.3,349.6,387,3,0.2,0,0,1424,351,336,365,7,0.5,0.1,0.9,1414,348,333,363,7,0.5,0.1,0.9,43283,5044,16374,20721,314,830,4417,8141,6584,2239,3595,1906,33201,7343,26603,13941,5006,26603,12485,219,49,77,444,9,91,309,258,4,10.4,11.7,17.7,36.9,23482,37,105,48.00000000000,0.00110898,0.457142857,0.002425895,412.2190476
71,Auburn Gresham,2093,341.6,327,356.2,460,22,20.2,23.8,1991,325,310.7,339.3,413,20.7,18.9,22.5,2076,349,334,364,325,15.7,14.1,17.3,2041,353.7,338.4,369,291,14.3,12.8,15.8,2205,394.3,377.8,410.8,231,10.5,9.2,11.8,2021,373.4,357.1,389.7,187,9.3,8,10.6,1904,363.7,347.4,380,103,5.4,4.4,6.4,1868,369.5,352.7,386.3,52,2.8,2.1,3.5,1848,378.8,361.5,396.1,60,3.2,2.4,4,1928,410.3,392,428.6,35,1.8,1.2,2.4,2033,449.7,430.2,469.2,34,1.7,1.1,2.3,1783,410.6,391.5,429.7,38,2.1,1.4,2.8,1710,393.8,375.1,412.5,26,1.5,0.9,2.1,1741,401,386,416,25,1.4,0.9,2,1779,410,395,424,25,1.4,0.9,2,45770,257,614,44267,153,479,5356,10100,8973,2113,2771,1805,42495,737,42479,753,224,42479,377,2,0,20,0,11,61,202,80,4,27.6,28.3,18.5,41.9,15528,74,82,32.00000000000,0.000699148,0.390243902,0.001791567,558.1707317
25,Austin,4471,302.9,294,311.8,1527,34.2,32.8,35.6,3865,261.8,253.5,270.1,1193,30.9,29.4,32.4,3905,273.3,264.7,281.9,1010,25.9,24.5,27.3,3818,276.4,267.6,285.2,841,22,20.7,23.3,3711,278.2,269.2,287.2,540,14.6,13.5,15.7,3680,286.1,276.9,295.3,452,12.3,11.2,13.4,4686,378.2,367.4,389,314,6.7,6,7.4,4828,405.2,393.8,416.6,233,4.8,4.2,5.4,4824,421.7,409.8,433.6,234,4.9,4.3,5.5,4614,420.8,408.7,432.9,155,3.4,2.9,3.9,5500,524.3,510.4,538.2,116,2.1,1.7,2.5,4926,491.8,478.1,505.5,107,2.2,1.8,2.6,4931,492.3,478.6,506,100,2,1.6,2.4,4907,490,480,500,116,2.4,1.9,2.8,4972,496,487,506,79,1.6,1.2,1.9,97611,4407,12270,79668,475,791,13410,22597,13151,4490,5481,2746,85410,4859,78858,11411,4262,78858,9805,484,0,135,148,97,72,575,95,6.3,28.6,22.6,24.4,37.9,15957,73,122,37.00000000000,0.000379056,0.303278689,0.001249859,800.0901639
45,Avalon Park,222,221.1,192,250.2,32,14.4,9.8,19,225,224.1,194.8,253.4,26,11.6,7.4,15.8,333,341.5,304.8,378.2,38,11.4,8,14.8,351,371,332.2,409.8,27,7.7,4.9,10.5,355,387.1,346.8,427.4,16,4.5,2.3,6.7,333,375,334.7,415.3,20,6,3.4,8.6,402,468,422.3,513.7,15,3.7,1.8,5.6,330,398.1,355.1,441.1,8,2.4,0.7,4.1,327,408.8,364.5,453.1,13,4,1.9,6.1,329,426.7,380.6,472.8,3,0.9,0,0,331,446.1,398,494.2,7,2.1,0.5,3.7,312,437.6,389,486.2,4,1.3,0,0,310,434.8,386.4,483.2,2,0.6,0,0,298,418,382,454,2,0.7,0,1.6,312,438,401,474,7,2.2,0.6,3.9,9795,37,68,9573,19,99,852,1689,2443,492,1066,533,8967,147,8932,182,33,8932,61,0,0,0,0,0,47,16,59,1.4,17.2,21.1,10.6,39.3,24454,41,50,17.00000000000,0.001735579,0.34,0.005104645,195.9
21,Avondale,1442,287.5,272.7,302.3,124,8.6,7.2,10,1539,306.9,291.6,322.2,116,7.5,6.2,8.8,1569,317.5,301.8,333.2,96,6.1,4.9,7.3,1491,306.2,290.7,321.7,84,5.6,4.4,6.8,1609,335.6,319.2,352,74,4.6,3.6,5.6,1402,296.9,281.4,312.4,54,3.9,2.9,4.9,1420,305.4,289.5,321.3,41,2.9,2,3.8,1452,317.3,301,333.6,23,1.6,1,2.2,1399,310.7,294.4,327,21,1.5,0.9,2.1,1462,330.1,313.2,347,28,1.9,1.2,2.6,1673,384.1,365.7,402.5,33,2,1.3,2.7,1529,357,339.1,374.9,14,0.9,0.4,1.4,1599,373.3,355,391.6,11,0.7,0.3,1.1,1547,361,347,376,6,0.4,0.1,0.7,1440,336,322,350,8,0.6,0.2,0.9,38191,11898,23368,800,1340,785,6969,6215,3791,1225,4779,2881,22021,13426,13925,21522,10552,13925,18051,1890,60,378,98,10,392,633,10,6,15.3,9.2,24.7,31,20039,42,157,44.00000000000,0.001152104,0.280254777,0.004110916,243.2547771
19,Belmont Cragin,2197,225.6,216.2,235,141,6.4,5.4,7.4,2534,260.2,250.1,270.3,165,6.5,5.5,7.5,2874,296,285.2,306.8,163,5.7,4.9,6.5,3142,324.5,313.2,335.8,135,4.3,3.6,5,3316,343.5,331.8,355.2,133,4,3.3,4.7,2996,311.3,300.2,322.4,81,2.7,2.1,3.3,3453,359.8,347.8,371.8,73,2.1,1.6,2.6,3727,389.6,377.1,402.1,56,1.5,1.1,1.9,3963,415.5,402.6,428.4,50,1.3,1,1.6,4047,425.6,412.5,438.7,64,1.6,1.2,2,4324,456.1,442.5,469.7,54,1.2,0.9,1.5,4014,424.7,411.6,437.8,38,0.9,0.6,1.2,3984,421.5,408.4,434.6,30,0.8,0.5,1.1,3845,407,397,417,27,0.7,0.4,1,3772,399,389,409,26,0.7,0.4,1,78107,10859,62945,2194,1333,775,17258,14394,7502,2566,4385,1819,41760,30010,12965,58805,27126,12965,52636,4279,17,936,309,27,206,359,36,10.8,18.7,14.6,37.3,37.3,15461,70,55,18.00000000000,0.000230453,0.327272727,0.000704162,1420.127273
72,Beverly,243,117.6,102.8,132.4,8,3.3,1.1,5.5,316,152.9,136,169.8,10,3.2,1.3,5.1,295,144.8,128.3,161.3,14,4.7,2.3,7.1,317,158,140.6,175.4,9,2.8,1,4.6,382,193.3,173.9,212.7,8,2.1,0.7,3.5,296,152.1,134.8,169.4,6,2,0.4,3.6,370,193.1,173.4,212.8,3,0.8,0,0,377,200,179.8,220.2,4,1.1,0,0,409,220.5,199.1,241.9,2,0.5,0,0,342,187.4,167.5,207.3,0,0,0,0,399,222.4,200.6,244.2,2,0.5,0,0,355,201.2,180.3,222.1,4,1.1,0,0,316,179.1,159.4,198.8,4,1.3,0,0,280,159,142,176,6,2.1,0.4,3.8,308,175,157,192,2,0.6,0,1.5,20836,12043,1200,7047,89,457,457,2043,2853,1048,3955,4091,18762,639,18449,952,199,18449,553,60,18,39,8,0,4,199,71,0.9,5.1,8,3.7,40.5,39523,12,302,128.00000000000,0.006143214,0.42384106,0.014494145,68.99337748
60,Bridgeport,724,206.2,191.2,221.2,55,7.6,5.7,9.5,698,198.8,184.1,213.5,35,5,3.4,6.6,678,197.9,183,212.8,27,4,2.5,5.5,573,171.5,157.5,185.5,17,3,1.6,4.4,660,202.6,187.1,218.1,10,1.5,0.6,2.4,680,214.4,198.3,230.5,11,1.6,0.7,2.5,765,247.8,230.2,265.4,7,0.9,0.2,1.6,824,274.5,255.8,293.2,4,0.5,0,0,852,292.1,272.5,311.7,4,0.5,0,0,813,287,267.3,306.7,2,0.2,0,0,809,294.4,274.1,314.7,3,0.4,0,0,879,330.1,308.3,351.9,3,0.3,0,0,1025,384.9,361.3,408.5,7,0.7,0.2,1.2,1034,388,370,407,4,0.4,0,0.8,1047,393,375,412,1,0.1,0,0.3,32789,10955,8160,863,12193,618,5144,6899,3647,1516,4099,2211,19123,11703,14091,16735,8952,14091,5028,212,10421,104,20,74,190,676,11,4.5,18.9,13.7,22.2,31.3,22694,43,128,36.00000000000,0.001097929,0.28125,0.003903748,256.1640625
58,Brighton Park,1742,257,244.9,269.1,172,9.9,8.5,11.3,2107,310.9,297.6,324.2,156,7.4,6.3,8.5,2496,370.9,356.3,385.5,159,6.4,5.4,7.4,2486,372.2,357.6,386.8,120,4.8,4,5.6,2952,445.2,429.1,461.3,107,3.6,2.9,4.3,3082,468.4,451.9,484.9,100,3.2,2.6,3.8,3374,516.6,499.2,534,106,3.1,2.5,3.7,3215,496,478.9,513.1,66,2.1,1.6,2.6,3257,506.4,489,523.8,50,1.5,1.1,1.9,3555,556.9,538.6,575.2,45,1.3,0.9,1.7,3468,547.6,529.4,565.8,43,1.2,0.8,1.6,3381,538,519.9,556.1,44,1.3,0.9,1.7,3647,580.4,561.6,599.2,34,0.9,0.6,1.2,3452,549,537,562,38,1.1,0.8,1.4,3202,510,497,522,25,0.8,0.5,1.1,44231,2798,37468,453,3253,259,11325,7928,3322,1132,1693,581,20867,20419,6323,34963,16521,6323,31490,247,2742,89,8,0,113,224,50,14.4,23.6,13.9,45.1,39.3,13089,84,29,8.00000000000,0.000180869,0.275862069,0.000655649,1525.206897
47,Burnside,142,337.3,281.8,392.8,31,21.8,15,28.6,106,251.8,203.9,299.7,19,17.9,10.6,25.2,112,279.3,227.6,331,11,9.8,4.3,15.3,139,363.9,303.4,424.4,9,6.5,2.4,10.6,123,339.8,279.7,399.9,8,6.5,2.1,10.9,110,321.6,261.5,381.7,5,4.5,0,0,117,362.2,296.6,427.8,4,3.4,0,0,108,356.4,289.2,423.6,3,2.8,0,0,102,360.4,290.5,430.3,3,2.9,0,0,115,437.3,357.4,517.2,1,0.9,0,0,122,500,411.3,588.7,1,0.8,0,0,100,446.4,358.9,533.9,3,3,0,0,84,375,299.1,464.3,3,3.6,0,0,90,402,338,466,5,5.6,0.8,10.3,83,371,307,434,2,2.4,0,5.7,2442,11,0,2419,0,12,285,434,454,139,98,113,2232,93,2248,77,26,2248,0,0,0,0,0,0,0,70,7,6.8,33,18.6,19.3,42.7,12515,79,6,0.00000000000,0,0,0.002457002,407
48,Calumet Heights,254,201.6,176.8,226.4,31,12.2,8.2,16.2,295,234.1,207.4,260.8,36,12.2,8.5,15.9,390,319.4,287.7,351.1,24,6.2,3.8,8.6,436,368.9,334.3,403.5,19,4.4,2.5,6.3,461,403.3,366.5,440.1,14,3,1.4,4.6,472,427.5,388.9,466.1,8,1.7,0.5,2.9,448,420.7,381.7,459.7,11,2.5,1.1,3.9,441,430.2,390,470.4,5,1.1,0,0,473,479.7,436.5,522.9,11,2.3,0.9,3.7,414,437.2,395.1,479.3,7,1.7,0.5,2.9,419,461.5,417.3,505.7,4,1,0,0,319,367.1,326.8,407.4,0,0,0,0,333,383.2,342,424.4,1,0.3,0,0,352,405,372,438,1,0.3,0,0.8,323,372,340,404,1,0.3,0,0.9,13306,161,465,12566,12,102,1138,2628,2713,968,1545,1079,12232,704,11993,943,281,11993,444,0,7,0,0,0,0,333,159,2.1,11.5,20,11,44,28887,38,48,25.00000000000,0.001878852,0.520833333,0.003607395,277.2083333
44,Chatham,947,255.4,239.1,271.7,166,17.5,15.1,19.9,955,257.6,241.3,273.9,137,14.3,12.1,16.5,1147,320.3,301.8,338.8,149,13,11.1,14.9,1232,356.7,336.8,376.6,108,8.8,7.2,10.4,1323,397.8,376.4,419.2,85,6.4,5.1,7.7,1300,406.4,384.3,428.5,89,6.8,5.4,8.2,1295,421.5,398.5,444.5,42,3.2,2.2,4.2,1256,426.5,402.9,450.1,33,2.6,1.7,3.5,1298,460.6,435.5,485.7,35,2.7,1.8,3.6,1306,485.5,459.2,511.8,23,1.8,1.1,2.5,1260,491.6,464.5,518.7,16,1.3,0.7,1.9,1037,425.7,399.8,451.6,8,0.8,0.3,1.3,1019,418.3,392.6,444,5,0.5,0,0,1121,460,440,480,9,0.8,0.3,1.3,1144,470,450,489,5,0.4,0.1,0.8,30991,459,311,29836,93,291,2596,5925,6111,1701,2805,2013,28103,565,27464,1204,277,27464,661,28,20,0,0,0,21,157,316,3.3,27.8,24,14.5,40.3,18881,60,59,14.00000000000,0.000451744,0.237288136,0.001903779,525.2711864
66,Chicago Lawn,2829,328.5,316.4,340.6,487,17.2,15.8,18.6,2982,346.3,333.9,358.7,432,14.5,13.2,15.8,3238,383.4,370.2,396.6,397,12.3,11.2,13.4,3223,389.3,375.9,402.7,326,10.1,9.1,11.1,3560,438.7,424.3,453.1,224,6.3,5.5,7.1,3501,440.5,425.9,455.1,209,6,5.2,6.8,3968,509.8,493.9,525.7,164,4.1,3.5,4.7,3764,494.2,478.4,510,150,4,3.4,4.6,4030,540.9,524.2,557.6,114,2.8,2.3,3.3,3896,534.8,518,551.6,80,2.1,1.7,2.5,3941,553.5,536.2,570.8,54,1.4,1,1.8,3597,517.3,500.4,534.2,54,1.5,1.1,1.9,3648,524.6,507.6,541.6,43,1.2,0.8,1.6,3510,505,493,516,34,1,0.6,1.3,3584,515,504,527,34,0.9,0.6,1.3,54265,1973,26109,25023,304,856,9412,11457,6620,1786,1845,706,36985,12730,27056,22659,10362,27056,21831,73,37,57,104,0,16,482,59,7.6,27.9,17.1,31.2,40.6,13231,80,44,15.00000000000,0.000276421,0.340909091,0.000810836,1233.295455
64,Clearing,243,119.3,104.3,134.3,5,2.1,0,0,231,113.4,98.8,128,4,1.7,0,0,264,128.1,112.6,143.6,5,1.9,0,0,293,140.5,124.4,156.6,4,1.4,0,0,351,166.5,149.1,183.9,6,1.7,0.3,3.1,332,155.7,139,172.4,7,2.1,0.6,3.6,466,216.1,196.5,235.7,2,0.4,0,0,488,223.9,204,243.8,0,0,0,0,601,272.7,250.9,294.5,4,0.7,0,0,584,262.2,240.9,283.5,5,0.9,0,0,625,277.7,255.9,299.5,2,0.3,0,0,609,267.7,246.4,289,3,0.5,0,0,687,302,279.4,324.6,2,0.3,0,0,680,299,280,318,0,0,0,0,652,287,268,305,4,0.6,0,1.2,25200,11672,12527,340,361,300,2591,6755,3556,1300,2094,845,18499,4966,12921,10544,3378,12921,7791,1747,0,158,164,64,45,559,16,2.7,8.9,9.5,18.8,37.6,25113,29,65,33.00000000000,0.001309524,0.507692308,0.002579365,387.6923077
